task,level,target,kind,candidate,verdict,per_pair
easy000c,GRID,size,keep,출력=입력,pass,null
easy000c,GRID,size,const,=6x6,pass,null
easy000c,GRID,color,keep,출력=입력,pass,null
easy000d,GRID,size,keep,출력=입력,pass,null
easy000d,GRID,size,const,=6x6,pass,null
easy000d,GRID,color,keep,출력=입력,pass,null
easy000e,GRID,size,keep,출력=입력,pass,null
easy000e,GRID,size,const,=6x6,pass,null
easy000e,GRID,color,keep,출력=입력,pass,null
easy000f,GRID,size,keep,출력=입력,pass,null
easy000f,GRID,size,const,=6x6,pass,null
easy000f,GRID,color,keep,출력=입력,pass,null
easy000g,GRID,size,keep,출력=입력,pass,null
easy000g,GRID,color,keep,출력=입력,pass,null
easy000h,GRID,size,keep,출력=입력,pass,null
easy000h,GRID,color,keep,출력=입력,pass,null
easy000i,GRID,size,const,=5x5,pass,null
easy000i,GRID,size,transform,"H1=H0-1,W1=W0-1",pass,null
easy000i,GRID,size,transform·H,H1=H0,fail,"[{""in"": [6, 6], ""expected"": 5, ""got"": 6, ""ok"": false}, {""in"": [6, 6], ""expected"": 5, ""got"": 6, ""ok"": false}]"
easy000i,GRID,size,transform·H,H1=H0-1,pass,"[{""in"": [6, 6], ""expected"": 5, ""got"": 5, ""ok"": true}, {""in"": [6, 6], ""expected"": 5, ""got"": 5, ""ok"": true}]"
easy000i,GRID,size,transform·H,H1=H0+1,fail,"[{""in"": [6, 6], ""expected"": 5, ""got"": 7, ""ok"": false}, {""in"": [6, 6], ""expected"": 5, ""got"": 7, ""ok"": false}]"
easy000i,GRID,size,transform·H,H1=H0*1,fail,"[{""in"": [6, 6], ""expected"": 5, ""got"": 6, ""ok"": false}, {""in"": [6, 6], ""expected"": 5, ""got"": 6, ""ok"": false}]"
easy000i,GRID,size,transform·H,H1=H0//1,fail,"[{""in"": [6, 6], ""expected"": 5, ""got"": 6, ""ok"": false}, {""in"": [6, 6], ""expected"": 5, ""got"": 6, ""ok"": false}]"
easy000i,GRID,size,transform·H,H1=H0-2,fail,"[{""in"": [6, 6], ""expected"": 5, ""got"": 4, ""ok"": false}, {""in"": [6, 6], ""expected"": 5, ""got"": 4, ""ok"": false}]"
easy000i,GRID,size,transform·H,H1=H0+2,fail,"[{""in"": [6, 6], ""expected"": 5, ""got"": 8, ""ok"": false}, {""in"": [6, 6], ""expected"": 5, ""got"": 8, ""ok"": false}]"
easy000i,GRID,size,transform·H,H1=H0*2,fail,"[{""in"": [6, 6], ""expected"": 5, ""got"": 12, ""ok"": false}, {""in"": [6, 6], ""expected"": 5, ""got"": 12, ""ok"": false}]"
easy000i,GRID,size,transform·H,H1=H0//2,fail,"[{""in"": [6, 6], ""expected"": 5, ""got"": 3, ""ok"": false}, {""in"": [6, 6], ""expected"": 5, ""got"": 3, ""ok"": false}]"
easy000i,GRID,size,transform·H,H1=H0-3,fail,"[{""in"": [6, 6], ""expected"": 5, ""got"": 3, ""ok"": false}, {""in"": [6, 6], ""expected"": 5, ""got"": 3, ""ok"": false}]"
easy000i,GRID,size,transform·H,H1=H0+3,fail,"[{""in"": [6, 6], ""expected"": 5, ""got"": 9, ""ok"": false}, {""in"": [6, 6], ""expected"": 5, ""got"": 9, ""ok"": false}]"
easy000i,GRID,size,transform·H,H1=H0*3,fail,"[{""in"": [6, 6], ""expected"": 5, ""got"": 18, ""ok"": false}, {""in"": [6, 6], ""expected"": 5, ""got"": 18, ""ok"": false}]"
easy000i,GRID,size,transform·H,H1=H0//3,fail,"[{""in"": [6, 6], ""expected"": 5, ""got"": 2, ""ok"": false}, {""in"": [6, 6], ""expected"": 5, ""got"": 2, ""ok"": false}]"
easy000i,GRID,size,transform·H,H1=W0,fail,"[{""in"": [6, 6], ""expected"": 5, ""got"": 6, ""ok"": false}, {""in"": [6, 6], ""expected"": 5, ""got"": 6, ""ok"": false}]"
easy000i,GRID,size,transform·H,H1=W0-1,pass,"[{""in"": [6, 6], ""expected"": 5, ""got"": 5, ""ok"": true}, {""in"": [6, 6], ""expected"": 5, ""got"": 5, ""ok"": true}]"
easy000i,GRID,size,transform·H,H1=W0+1,fail,"[{""in"": [6, 6], ""expected"": 5, ""got"": 7, ""ok"": false}, {""in"": [6, 6], ""expected"": 5, ""got"": 7, ""ok"": false}]"
easy000i,GRID,size,transform·H,H1=W0*1,fail,"[{""in"": [6, 6], ""expected"": 5, ""got"": 6, ""ok"": false}, {""in"": [6, 6], ""expected"": 5, ""got"": 6, ""ok"": false}]"
easy000i,GRID,size,transform·H,H1=W0//1,fail,"[{""in"": [6, 6], ""expected"": 5, ""got"": 6, ""ok"": false}, {""in"": [6, 6], ""expected"": 5, ""got"": 6, ""ok"": false}]"
easy000i,GRID,size,transform·H,H1=W0-2,fail,"[{""in"": [6, 6], ""expected"": 5, ""got"": 4, ""ok"": false}, {""in"": [6, 6], ""expected"": 5, ""got"": 4, ""ok"": false}]"
easy000i,GRID,size,transform·H,H1=W0+2,fail,"[{""in"": [6, 6], ""expected"": 5, ""got"": 8, ""ok"": false}, {""in"": [6, 6], ""expected"": 5, ""got"": 8, ""ok"": false}]"
easy000i,GRID,size,transform·H,H1=W0*2,fail,"[{""in"": [6, 6], ""expected"": 5, ""got"": 12, ""ok"": false}, {""in"": [6, 6], ""expected"": 5, ""got"": 12, ""ok"": false}]"
easy000i,GRID,size,transform·H,H1=W0//2,fail,"[{""in"": [6, 6], ""expected"": 5, ""got"": 3, ""ok"": false}, {""in"": [6, 6], ""expected"": 5, ""got"": 3, ""ok"": false}]"
easy000i,GRID,size,transform·H,H1=W0-3,fail,"[{""in"": [6, 6], ""expected"": 5, ""got"": 3, ""ok"": false}, {""in"": [6, 6], ""expected"": 5, ""got"": 3, ""ok"": false}]"
easy000i,GRID,size,transform·H,H1=W0+3,fail,"[{""in"": [6, 6], ""expected"": 5, ""got"": 9, ""ok"": false}, {""in"": [6, 6], ""expected"": 5, ""got"": 9, ""ok"": false}]"
easy000i,GRID,size,transform·H,H1=W0*3,fail,"[{""in"": [6, 6], ""expected"": 5, ""got"": 18, ""ok"": false}, {""in"": [6, 6], ""expected"": 5, ""got"": 18, ""ok"": false}]"
easy000i,GRID,size,transform·H,H1=W0//3,fail,"[{""in"": [6, 6], ""expected"": 5, ""got"": 2, ""ok"": false}, {""in"": [6, 6], ""expected"": 5, ""got"": 2, ""ok"": false}]"
easy000i,GRID,size,transform·W,W1=W0,fail,"[{""in"": [6, 6], ""expected"": 5, ""got"": 6, ""ok"": false}, {""in"": [6, 6], ""expected"": 5, ""got"": 6, ""ok"": false}]"
easy000i,GRID,size,transform·W,W1=W0-1,pass,"[{""in"": [6, 6], ""expected"": 5, ""got"": 5, ""ok"": true}, {""in"": [6, 6], ""expected"": 5, ""got"": 5, ""ok"": true}]"
easy000i,GRID,size,transform·W,W1=W0+1,fail,"[{""in"": [6, 6], ""expected"": 5, ""got"": 7, ""ok"": false}, {""in"": [6, 6], ""expected"": 5, ""got"": 7, ""ok"": false}]"
easy000i,GRID,size,transform·W,W1=W0*1,fail,"[{""in"": [6, 6], ""expected"": 5, ""got"": 6, ""ok"": false}, {""in"": [6, 6], ""expected"": 5, ""got"": 6, ""ok"": false}]"
easy000i,GRID,size,transform·W,W1=W0//1,fail,"[{""in"": [6, 6], ""expected"": 5, ""got"": 6, ""ok"": false}, {""in"": [6, 6], ""expected"": 5, ""got"": 6, ""ok"": false}]"
easy000i,GRID,size,transform·W,W1=W0-2,fail,"[{""in"": [6, 6], ""expected"": 5, ""got"": 4, ""ok"": false}, {""in"": [6, 6], ""expected"": 5, ""got"": 4, ""ok"": false}]"
easy000i,GRID,size,transform·W,W1=W0+2,fail,"[{""in"": [6, 6], ""expected"": 5, ""got"": 8, ""ok"": false}, {""in"": [6, 6], ""expected"": 5, ""got"": 8, ""ok"": false}]"
easy000i,GRID,size,transform·W,W1=W0*2,fail,"[{""in"": [6, 6], ""expected"": 5, ""got"": 12, ""ok"": false}, {""in"": [6, 6], ""expected"": 5, ""got"": 12, ""ok"": false}]"
easy000i,GRID,size,transform·W,W1=W0//2,fail,"[{""in"": [6, 6], ""expected"": 5, ""got"": 3, ""ok"": false}, {""in"": [6, 6], ""expected"": 5, ""got"": 3, ""ok"": false}]"
easy000i,GRID,size,transform·W,W1=W0-3,fail,"[{""in"": [6, 6], ""expected"": 5, ""got"": 3, ""ok"": false}, {""in"": [6, 6], ""expected"": 5, ""got"": 3, ""ok"": false}]"
easy000i,GRID,size,transform·W,W1=W0+3,fail,"[{""in"": [6, 6], ""expected"": 5, ""got"": 9, ""ok"": false}, {""in"": [6, 6], ""expected"": 5, ""got"": 9, ""ok"": false}]"
easy000i,GRID,size,transform·W,W1=W0*3,fail,"[{""in"": [6, 6], ""expected"": 5, ""got"": 18, ""ok"": false}, {""in"": [6, 6], ""expected"": 5, ""got"": 18, ""ok"": false}]"
easy000i,GRID,size,transform·W,W1=W0//3,fail,"[{""in"": [6, 6], ""expected"": 5, ""got"": 2, ""ok"": false}, {""in"": [6, 6], ""expected"": 5, ""got"": 2, ""ok"": false}]"
easy000i,GRID,size,transform·W,W1=H0,fail,"[{""in"": [6, 6], ""expected"": 5, ""got"": 6, ""ok"": false}, {""in"": [6, 6], ""expected"": 5, ""got"": 6, ""ok"": false}]"
easy000i,GRID,size,transform·W,W1=H0-1,pass,"[{""in"": [6, 6], ""expected"": 5, ""got"": 5, ""ok"": true}, {""in"": [6, 6], ""expected"": 5, ""got"": 5, ""ok"": true}]"
easy000i,GRID,size,transform·W,W1=H0+1,fail,"[{""in"": [6, 6], ""expected"": 5, ""got"": 7, ""ok"": false}, {""in"": [6, 6], ""expected"": 5, ""got"": 7, ""ok"": false}]"
easy000i,GRID,size,transform·W,W1=H0*1,fail,"[{""in"": [6, 6], ""expected"": 5, ""got"": 6, ""ok"": false}, {""in"": [6, 6], ""expected"": 5, ""got"": 6, ""ok"": false}]"
easy000i,GRID,size,transform·W,W1=H0//1,fail,"[{""in"": [6, 6], ""expected"": 5, ""got"": 6, ""ok"": false}, {""in"": [6, 6], ""expected"": 5, ""got"": 6, ""ok"": false}]"
easy000i,GRID,size,transform·W,W1=H0-2,fail,"[{""in"": [6, 6], ""expected"": 5, ""got"": 4, ""ok"": false}, {""in"": [6, 6], ""expected"": 5, ""got"": 4, ""ok"": false}]"
easy000i,GRID,size,transform·W,W1=H0+2,fail,"[{""in"": [6, 6], ""expected"": 5, ""got"": 8, ""ok"": false}, {""in"": [6, 6], ""expected"": 5, ""got"": 8, ""ok"": false}]"
easy000i,GRID,size,transform·W,W1=H0*2,fail,"[{""in"": [6, 6], ""expected"": 5, ""got"": 12, ""ok"": false}, {""in"": [6, 6], ""expected"": 5, ""got"": 12, ""ok"": false}]"
easy000i,GRID,size,transform·W,W1=H0//2,fail,"[{""in"": [6, 6], ""expected"": 5, ""got"": 3, ""ok"": false}, {""in"": [6, 6], ""expected"": 5, ""got"": 3, ""ok"": false}]"
easy000i,GRID,size,transform·W,W1=H0-3,fail,"[{""in"": [6, 6], ""expected"": 5, ""got"": 3, ""ok"": false}, {""in"": [6, 6], ""expected"": 5, ""got"": 3, ""ok"": false}]"
easy000i,GRID,size,transform·W,W1=H0+3,fail,"[{""in"": [6, 6], ""expected"": 5, ""got"": 9, ""ok"": false}, {""in"": [6, 6], ""expected"": 5, ""got"": 9, ""ok"": false}]"
easy000i,GRID,size,transform·W,W1=H0*3,fail,"[{""in"": [6, 6], ""expected"": 5, ""got"": 18, ""ok"": false}, {""in"": [6, 6], ""expected"": 5, ""got"": 18, ""ok"": false}]"
easy000i,GRID,size,transform·W,W1=H0//3,fail,"[{""in"": [6, 6], ""expected"": 5, ""got"": 2, ""ok"": false}, {""in"": [6, 6], ""expected"": 5, ""got"": 2, ""ok"": false}]"
easy000i,GRID,color,keep,출력=입력,pass,null
made000a,GRID,size,const,=1x1,pass,null
made000a,GRID,size,transform,크기식없음,fail,null
made000a,GRID,size,transform·H,H1=H0,fail,"[{""in"": [8, 8], ""expected"": 1, ""got"": 8, ""ok"": false}, {""in"": [8, 8], ""expected"": 1, ""got"": 8, ""ok"": false}]"
made000a,GRID,size,transform·H,H1=H0-1,fail,"[{""in"": [8, 8], ""expected"": 1, ""got"": 7, ""ok"": false}, {""in"": [8, 8], ""expected"": 1, ""got"": 7, ""ok"": false}]"
made000a,GRID,size,transform·H,H1=H0+1,fail,"[{""in"": [8, 8], ""expected"": 1, ""got"": 9, ""ok"": false}, {""in"": [8, 8], ""expected"": 1, ""got"": 9, ""ok"": false}]"
made000a,GRID,size,transform·H,H1=H0*1,fail,"[{""in"": [8, 8], ""expected"": 1, ""got"": 8, ""ok"": false}, {""in"": [8, 8], ""expected"": 1, ""got"": 8, ""ok"": false}]"
made000a,GRID,size,transform·H,H1=H0//1,fail,"[{""in"": [8, 8], ""expected"": 1, ""got"": 8, ""ok"": false}, {""in"": [8, 8], ""expected"": 1, ""got"": 8, ""ok"": false}]"
made000a,GRID,size,transform·H,H1=H0-2,fail,"[{""in"": [8, 8], ""expected"": 1, ""got"": 6, ""ok"": false}, {""in"": [8, 8], ""expected"": 1, ""got"": 6, ""ok"": false}]"
made000a,GRID,size,transform·H,H1=H0+2,fail,"[{""in"": [8, 8], ""expected"": 1, ""got"": 10, ""ok"": false}, {""in"": [8, 8], ""expected"": 1, ""got"": 10, ""ok"": false}]"
made000a,GRID,size,transform·H,H1=H0*2,fail,"[{""in"": [8, 8], ""expected"": 1, ""got"": 16, ""ok"": false}, {""in"": [8, 8], ""expected"": 1, ""got"": 16, ""ok"": false}]"
made000a,GRID,size,transform·H,H1=H0//2,fail,"[{""in"": [8, 8], ""expected"": 1, ""got"": 4, ""ok"": false}, {""in"": [8, 8], ""expected"": 1, ""got"": 4, ""ok"": false}]"
made000a,GRID,size,transform·H,H1=H0-3,fail,"[{""in"": [8, 8], ""expected"": 1, ""got"": 5, ""ok"": false}, {""in"": [8, 8], ""expected"": 1, ""got"": 5, ""ok"": false}]"
made000a,GRID,size,transform·H,H1=H0+3,fail,"[{""in"": [8, 8], ""expected"": 1, ""got"": 11, ""ok"": false}, {""in"": [8, 8], ""expected"": 1, ""got"": 11, ""ok"": false}]"
made000a,GRID,size,transform·H,H1=H0*3,fail,"[{""in"": [8, 8], ""expected"": 1, ""got"": 24, ""ok"": false}, {""in"": [8, 8], ""expected"": 1, ""got"": 24, ""ok"": false}]"
made000a,GRID,size,transform·H,H1=H0//3,fail,"[{""in"": [8, 8], ""expected"": 1, ""got"": 2, ""ok"": false}, {""in"": [8, 8], ""expected"": 1, ""got"": 2, ""ok"": false}]"
made000a,GRID,size,transform·H,H1=W0,fail,"[{""in"": [8, 8], ""expected"": 1, ""got"": 8, ""ok"": false}, {""in"": [8, 8], ""expected"": 1, ""got"": 8, ""ok"": false}]"
made000a,GRID,size,transform·H,H1=W0-1,fail,"[{""in"": [8, 8], ""expected"": 1, ""got"": 7, ""ok"": false}, {""in"": [8, 8], ""expected"": 1, ""got"": 7, ""ok"": false}]"
made000a,GRID,size,transform·H,H1=W0+1,fail,"[{""in"": [8, 8], ""expected"": 1, ""got"": 9, ""ok"": false}, {""in"": [8, 8], ""expected"": 1, ""got"": 9, ""ok"": false}]"
made000a,GRID,size,transform·H,H1=W0*1,fail,"[{""in"": [8, 8], ""expected"": 1, ""got"": 8, ""ok"": false}, {""in"": [8, 8], ""expected"": 1, ""got"": 8, ""ok"": false}]"
made000a,GRID,size,transform·H,H1=W0//1,fail,"[{""in"": [8, 8], ""expected"": 1, ""got"": 8, ""ok"": false}, {""in"": [8, 8], ""expected"": 1, ""got"": 8, ""ok"": false}]"
made000a,GRID,size,transform·H,H1=W0-2,fail,"[{""in"": [8, 8], ""expected"": 1, ""got"": 6, ""ok"": false}, {""in"": [8, 8], ""expected"": 1, ""got"": 6, ""ok"": false}]"
made000a,GRID,size,transform·H,H1=W0+2,fail,"[{""in"": [8, 8], ""expected"": 1, ""got"": 10, ""ok"": false}, {""in"": [8, 8], ""expected"": 1, ""got"": 10, ""ok"": false}]"
made000a,GRID,size,transform·H,H1=W0*2,fail,"[{""in"": [8, 8], ""expected"": 1, ""got"": 16, ""ok"": false}, {""in"": [8, 8], ""expected"": 1, ""got"": 16, ""ok"": false}]"
made000a,GRID,size,transform·H,H1=W0//2,fail,"[{""in"": [8, 8], ""expected"": 1, ""got"": 4, ""ok"": false}, {""in"": [8, 8], ""expected"": 1, ""got"": 4, ""ok"": false}]"
made000a,GRID,size,transform·H,H1=W0-3,fail,"[{""in"": [8, 8], ""expected"": 1, ""got"": 5, ""ok"": false}, {""in"": [8, 8], ""expected"": 1, ""got"": 5, ""ok"": false}]"
made000a,GRID,size,transform·H,H1=W0+3,fail,"[{""in"": [8, 8], ""expected"": 1, ""got"": 11, ""ok"": false}, {""in"": [8, 8], ""expected"": 1, ""got"": 11, ""ok"": false}]"
made000a,GRID,size,transform·H,H1=W0*3,fail,"[{""in"": [8, 8], ""expected"": 1, ""got"": 24, ""ok"": false}, {""in"": [8, 8], ""expected"": 1, ""got"": 24, ""ok"": false}]"
made000a,GRID,size,transform·H,H1=W0//3,fail,"[{""in"": [8, 8], ""expected"": 1, ""got"": 2, ""ok"": false}, {""in"": [8, 8], ""expected"": 1, ""got"": 2, ""ok"": false}]"
made000a,GRID,size,transform·W,W1=W0,fail,"[{""in"": [8, 8], ""expected"": 1, ""got"": 8, ""ok"": false}, {""in"": [8, 8], ""expected"": 1, ""got"": 8, ""ok"": false}]"
made000a,GRID,size,transform·W,W1=W0-1,fail,"[{""in"": [8, 8], ""expected"": 1, ""got"": 7, ""ok"": false}, {""in"": [8, 8], ""expected"": 1, ""got"": 7, ""ok"": false}]"
made000a,GRID,size,transform·W,W1=W0+1,fail,"[{""in"": [8, 8], ""expected"": 1, ""got"": 9, ""ok"": false}, {""in"": [8, 8], ""expected"": 1, ""got"": 9, ""ok"": false}]"
made000a,GRID,size,transform·W,W1=W0*1,fail,"[{""in"": [8, 8], ""expected"": 1, ""got"": 8, ""ok"": false}, {""in"": [8, 8], ""expected"": 1, ""got"": 8, ""ok"": false}]"
made000a,GRID,size,transform·W,W1=W0//1,fail,"[{""in"": [8, 8], ""expected"": 1, ""got"": 8, ""ok"": false}, {""in"": [8, 8], ""expected"": 1, ""got"": 8, ""ok"": false}]"
made000a,GRID,size,transform·W,W1=W0-2,fail,"[{""in"": [8, 8], ""expected"": 1, ""got"": 6, ""ok"": false}, {""in"": [8, 8], ""expected"": 1, ""got"": 6, ""ok"": false}]"
made000a,GRID,size,transform·W,W1=W0+2,fail,"[{""in"": [8, 8], ""expected"": 1, ""got"": 10, ""ok"": false}, {""in"": [8, 8], ""expected"": 1, ""got"": 10, ""ok"": false}]"
made000a,GRID,size,transform·W,W1=W0*2,fail,"[{""in"": [8, 8], ""expected"": 1, ""got"": 16, ""ok"": false}, {""in"": [8, 8], ""expected"": 1, ""got"": 16, ""ok"": false}]"
made000a,GRID,size,transform·W,W1=W0//2,fail,"[{""in"": [8, 8], ""expected"": 1, ""got"": 4, ""ok"": false}, {""in"": [8, 8], ""expected"": 1, ""got"": 4, ""ok"": false}]"
made000a,GRID,size,transform·W,W1=W0-3,fail,"[{""in"": [8, 8], ""expected"": 1, ""got"": 5, ""ok"": false}, {""in"": [8, 8], ""expected"": 1, ""got"": 5, ""ok"": false}]"
made000a,GRID,size,transform·W,W1=W0+3,fail,"[{""in"": [8, 8], ""expected"": 1, ""got"": 11, ""ok"": false}, {""in"": [8, 8], ""expected"": 1, ""got"": 11, ""ok"": false}]"
made000a,GRID,size,transform·W,W1=W0*3,fail,"[{""in"": [8, 8], ""expected"": 1, ""got"": 24, ""ok"": false}, {""in"": [8, 8], ""expected"": 1, ""got"": 24, ""ok"": false}]"
made000a,GRID,size,transform·W,W1=W0//3,fail,"[{""in"": [8, 8], ""expected"": 1, ""got"": 2, ""ok"": false}, {""in"": [8, 8], ""expected"": 1, ""got"": 2, ""ok"": false}]"
made000a,GRID,size,transform·W,W1=H0,fail,"[{""in"": [8, 8], ""expected"": 1, ""got"": 8, ""ok"": false}, {""in"": [8, 8], ""expected"": 1, ""got"": 8, ""ok"": false}]"
made000a,GRID,size,transform·W,W1=H0-1,fail,"[{""in"": [8, 8], ""expected"": 1, ""got"": 7, ""ok"": false}, {""in"": [8, 8], ""expected"": 1, ""got"": 7, ""ok"": false}]"
made000a,GRID,size,transform·W,W1=H0+1,fail,"[{""in"": [8, 8], ""expected"": 1, ""got"": 9, ""ok"": false}, {""in"": [8, 8], ""expected"": 1, ""got"": 9, ""ok"": false}]"
made000a,GRID,size,transform·W,W1=H0*1,fail,"[{""in"": [8, 8], ""expected"": 1, ""got"": 8, ""ok"": false}, {""in"": [8, 8], ""expected"": 1, ""got"": 8, ""ok"": false}]"
made000a,GRID,size,transform·W,W1=H0//1,fail,"[{""in"": [8, 8], ""expected"": 1, ""got"": 8, ""ok"": false}, {""in"": [8, 8], ""expected"": 1, ""got"": 8, ""ok"": false}]"
made000a,GRID,size,transform·W,W1=H0-2,fail,"[{""in"": [8, 8], ""expected"": 1, ""got"": 6, ""ok"": false}, {""in"": [8, 8], ""expected"": 1, ""got"": 6, ""ok"": false}]"
made000a,GRID,size,transform·W,W1=H0+2,fail,"[{""in"": [8, 8], ""expected"": 1, ""got"": 10, ""ok"": false}, {""in"": [8, 8], ""expected"": 1, ""got"": 10, ""ok"": false}]"
made000a,GRID,size,transform·W,W1=H0*2,fail,"[{""in"": [8, 8], ""expected"": 1, ""got"": 16, ""ok"": false}, {""in"": [8, 8], ""expected"": 1, ""got"": 16, ""ok"": false}]"
made000a,GRID,size,transform·W,W1=H0//2,fail,"[{""in"": [8, 8], ""expected"": 1, ""got"": 4, ""ok"": false}, {""in"": [8, 8], ""expected"": 1, ""got"": 4, ""ok"": false}]"
made000a,GRID,size,transform·W,W1=H0-3,fail,"[{""in"": [8, 8], ""expected"": 1, ""got"": 5, ""ok"": false}, {""in"": [8, 8], ""expected"": 1, ""got"": 5, ""ok"": false}]"
made000a,GRID,size,transform·W,W1=H0+3,fail,"[{""in"": [8, 8], ""expected"": 1, ""got"": 11, ""ok"": false}, {""in"": [8, 8], ""expected"": 1, ""got"": 11, ""ok"": false}]"
made000a,GRID,size,transform·W,W1=H0*3,fail,"[{""in"": [8, 8], ""expected"": 1, ""got"": 24, ""ok"": false}, {""in"": [8, 8], ""expected"": 1, ""got"": 24, ""ok"": false}]"
made000a,GRID,size,transform·W,W1=H0//3,fail,"[{""in"": [8, 8], ""expected"": 1, ""got"": 2, ""ok"": false}, {""in"": [8, 8], ""expected"": 1, ""got"": 2, ""ok"": false}]"
made000a,GRID,color,transform,전역색맵없음,fail,null
made000b,GRID,size,keep,출력=입력,pass,null
made000b,GRID,color,keep,출력=입력,pass,null
08ed6ac7,GRID,size,keep,출력=입력,pass,null
08ed6ac7,GRID,size,const,=9x9,pass,null
08ed6ac7,GRID,color,const,"=[0, 1, 2, 3, 4]",pass,null
08ed6ac7,GRID,color,transform,전역색맵없음,fail,null
0ca9ddb6,GRID,size,keep,출력=입력,pass,null
0ca9ddb6,GRID,size,const,=9x9,pass,null
0ca9ddb6,GRID,color,transform,전역색맵없음,fail,null
009d5c81,GRID,size,keep,출력=입력,pass,null
009d5c81,GRID,size,const,=14x14,pass,null
009d5c81,GRID,color,transform,전역색맵없음,fail,null
11852cab,GRID,size,keep,출력=입력,pass,null
11852cab,GRID,size,const,=10x10,pass,null
11852cab,GRID,color,keep,출력=입력,pass,null
845d6e51,GRID,size,keep,출력=입력,pass,null
845d6e51,GRID,size,const,불일치,fail,null
845d6e51,GRID,color,transform,전역색맵없음,fail,null
868de0fa,GRID,size,keep,출력=입력,pass,null
868de0fa,GRID,size,const,불일치,fail,null
868de0fa,GRID,color,const,"=[0, 1, 2, 7]",pass,null
868de0fa,GRID,color,transform,전역색맵없음,fail,null
